,Lex,Example,ConstrPattern,arg_num
0,погладить,Мать нежно гладила горячей рукой  лицо сына,Snom V Sacc -> Sgen Sins,2
1,выводить,Он вывел лошадь во двор,Snom V Sacc {ADV / PRкуда + Sx},3
2,выводить, Его куда-то вывели,Snom V Sacc {ADV / PRкуда + Sx},3
3,выводить, Я вывел детей на улицу ,Snom V Sacc {ADV / PRкуда + Sx},3
4,выводить, Больных вывели в безопасное место,Snom V Sacc {ADV / PRкуда + Sx},3
5,выводить, Стража выводила приговоренных на площадь ,Snom V Sacc {ADV / PRкуда + Sx},3
6,назваться,"Раньше такие поступки назывались героическими, а теперь их считают безрассудными",Snom V Ains,2
7,называться,"Раньше такие поступки назывались героическими, а теперь их считают безрассудными",Snom V Ains,2
8,исполнить,"Солдат, не исполнивший приказа, отдается под суд",Snom V Sacc,2
9,исполнить, Вы не исполнили своего обещания ,Snom V Sacc,2
10,исполнить, Я только исполняю свой сыновний долг ,Snom V Sacc,2
11,исполнять,"Солдат, не исполнивший приказа, отдается под суд",Snom V Sacc,2
12,исполнять, Вы не исполнили своего обещания ,Snom V Sacc,2
13,исполнять, Я только исполняю свой сыновний долг ,Snom V Sacc,2
14,цитировать,Я цитирую: «Между химическим составом звездной материи и человеческим телом обнаруживается поразительное сходство»,Snom V [Sacc] «CL»,3
15,процитировать,Я цитирую: «Между химическим составом звездной материи и человеческим телом обнаруживается поразительное сходство»,Snom V [Sacc] «CL»,3
16,вредить,Вредить было любимым его занятием,Snom V,1
17,навредить,Вредить было любимым его занятием,Snom V,1
18,страдать,Пострадали два человека,Snom V,1
19,страдать, Япония сильно пострадала,Snom V,1
20,пострадать,Пострадали два человека,Snom V,1
21,пострадать, Япония сильно пострадала,Snom V,1
22,привыкнуть,Вчерашние кочевники привыкли жить в чистоте,Snom V Vinf,2
23,привыкнуть, Он привык исполнять свои обещания ,Snom V Vinf,2
24,привыкнуть," Девушка, к сожалению, уже привыкла курить",Snom V Vinf,2
25,привыкать,Вчерашние кочевники привыкли жить в чистоте,Snom V Vinf,2
26,привыкать, Он привык исполнять свои обещания ,Snom V Vinf,2
27,привыкать," Девушка, к сожалению, уже привыкла курить",Snom V Vinf,2
28,изображать,Съемочная группа наняла нас в качестве статистов - мы должны были изображать голодную толпу,Snom V Sacc,2
29,изображать," Отец солировал, а дети изображали хор",Snom V Sacc,2
30,изобразить,Съемочная группа наняла нас в качестве статистов - мы должны были изображать голодную толпу,Snom V Sacc,2
31,изобразить," Отец солировал, а дети изображали хор",Snom V Sacc,2
32,рассердиться,Он рассердился на сына ,Snom V на + Sacc,2
33,рассердиться, На что ты так сердишься?,Snom V на + Sacc,2
34,арестовать,Полиция арестовала группу профсоюзных активистов ,Snom V Sacc,2
35,арестовать, Преступника арестовали на борту самолета,Snom V Sacc,2
36,арестовать, Нарушитель был арестован при попытке перейти границу,Snom V Sacc,2
