,sentence,word,role,index
0,«Школа злословия» учит прикусить язык,школа,agent,0.0
1,Сохранится ли градус дискуссии в новом сезоне?,градус,posessor,2.0
2,Сохранится ли градус дискуссии в новом сезоне?,дискуссия,posessor,3.0
3,Великолепная «Школа злословия» вернулась в эфир после летних каникул в новом формате.,школа,agent,1.0
4,Великолепная «Школа злословия» вернулась в эфир после летних каникул в новом формате.,каникулы,term,8.0
5,"Сейчас с трудом можно припомнить, что начиналась «Школа…» на канале «Культура» как стандартное ток-шоу, которое отличалось от других «кухонными» обсуждениями гостя, что называется – «за глаза», и неожиданными персонами в качестве ведущих.",школа,agent,7.0
6,"Сейчас с трудом можно припомнить, что начиналась «Школа…» на канале «Культура» как стандартное ток-шоу, которое отличалось от других «кухонными» обсуждениями гостя, что называется – «за глаза», и неожиданными персонами в качестве ведущих.",гость,second_member,20.0
8,Писательница Татьяна Толстая и сценаристка Дуня Смирнова вроде бы не вполне соответствовали принятым на российском телевидении стандартам телеведущих.,писательница,agent,0.0
9,Писательница Татьяна Толстая и сценаристка Дуня Смирнова вроде бы не вполне соответствовали принятым на российском телевидении стандартам телеведущих.,татьяна,agent,1.0
11,Писательница Татьяна Толстая и сценаристка Дуня Смирнова вроде бы не вполне соответствовали принятым на российском телевидении стандартам телеведущих.,сценаристка,agent,4.0
12,Писательница Татьяна Толстая и сценаристка Дуня Смирнова вроде бы не вполне соответствовали принятым на российском телевидении стандартам телеведущих.,дуня,agent,5.0
13,Писательница Татьяна Толстая и сценаристка Дуня Смирнова вроде бы не вполне соответствовали принятым на российском телевидении стандартам телеведущих.,смирнова,agent,6.0
14,"Впрочем, на канале «Культура» в роли телеведущих выступают и писатели, и композиторы, так что в этом ничего сверхъестественного не было, а идея кухонных обсуждений не слишком прижилась, и некоторые выпуски программы обходились практически без них.",писатель,agent,9.0
15,"Впрочем, на канале «Культура» в роли телеведущих выступают и писатели, и композиторы, так что в этом ничего сверхъестественного не было, а идея кухонных обсуждений не слишком прижилась, и некоторые выпуски программы обходились практически без них.",композитор,agent,11.0
16,"Впрочем, на канале «Культура» в роли телеведущих выступают и писатели, и композиторы, так что в этом ничего сверхъестественного не было, а идея кухонных обсуждений не слишком прижилась, и некоторые выпуски программы обходились практически без них.",обсуждение,posessor,23.0
17,"Впрочем, на канале «Культура» в роли телеведущих выступают и писатели, и композиторы, так что в этом ничего сверхъестественного не было, а идея кухонных обсуждений не слишком прижилась, и некоторые выпуски программы обходились практически без них.",выпуск,agent,29.0
18,"Впрочем, на канале «Культура» в роли телеведущих выступают и писатели, и композиторы, так что в этом ничего сверхъестественного не было, а идея кухонных обсуждений не слишком прижилась, и некоторые выпуски программы обходились практически без них.",программа,posessor,30.0
20,"Иногда и в самом деле не без злословия, а по большей части – разговор «с придыханиями», например в программах с участием Бориса Бермана и Ильдара Жандарева, с которыми чем дальше, тем больше «родства» наблюдалось у ведущих «Школы…».",злословие,stimulus,7.0
21,"Иногда и в самом деле не без злословия, а по большей части – разговор «с придыханиями», например в программах с участием Бориса Бермана и Ильдара Жандарева, с которыми чем дальше, тем больше «родства» наблюдалось у ведущих «Школы…».",борис,counterparty,21.0
22,"Иногда и в самом деле не без злословия, а по большей части – разговор «с придыханиями», например в программах с участием Бориса Бермана и Ильдара Жандарева, с которыми чем дальше, тем больше «родства» наблюдалось у ведущих «Школы…».",берман,counterparty,22.0
23,"Иногда и в самом деле не без злословия, а по большей части – разговор «с придыханиями», например в программах с участием Бориса Бермана и Ильдара Жандарева, с которыми чем дальше, тем больше «родства» наблюдалось у ведущих «Школы…».",ильдар,counterparty,24.0
25,"Иногда и в самом деле не без злословия, а по большей части – разговор «с придыханиями», например в программах с участием Бориса Бермана и Ильдара Жандарева, с которыми чем дальше, тем больше «родства» наблюдалось у ведущих «Школы…».",родство,patient,32.0
26,Потом проект переехал с «Культуры» на НТВ.,проект,agent,1.0
27,Потом проект переехал с «Культуры» на НТВ.,культура,starting_point,4.0
28,"Это помимо явных перемен в виде тут же появившихся рекламных блоков, отсутствовавших на «Культуре», позволило, с одной стороны, расширить круг гостей, с другой – изменить тон разговора.",блок,theme,10.0
30,"Набор героев программы расширился самым причудливым образом, да и «злословия» стало меньше.",набор,agent,0.0
31,"Набор героев программы расширился самым причудливым образом, да и «злословия» стало меньше.",герой,posessor,1.0
