sentence,role,idx_target,raw_target,idx_head,raw_head
«Школа злословия» учит прикусить язык,agent,1-6,Школа,18-22,учит
Сохранится ли градус дискуссии в новом сезоне?,posessor,14-20,градус,0-10,Сохранится
Великолепная «Школа злословия» вернулась в эфир после летних каникул в новом формате.,agent,14-19,Школа,31-40,вернулась
Великолепная «Школа злословия» вернулась в эфир после летних каникул в новом формате.,time,61-68,каникул,31-40,вернулась
Писательница Татьяна Толстая и сценаристка Дуня Смирнова вроде бы не вполне соответствовали принятым на российском телевидении стандартам телеведущих.,agent,0-12,Писательница,76-91,соответствовали
"Впрочем, на канале «Культура» в роли телеведущих выступают и писатели, и композиторы, так что в этом ничего сверхъестественного не было, а идея кухонных обсуждений не слишком прижилась, и некоторые выпуски программы обходились практически без них.",agent,61-69,писатели,49-58,выступают
"Иногда и в самом деле не без злословия, а по большей части – разговор «с придыханиями», например в программах с участием Бориса Бермана и Ильдара Жандарева, с которыми чем дальше, тем больше «родства» наблюдалось у ведущих «Школы…».",causator,29-38,злословия,201-212,наблюдалось
"Иногда и в самом деле не без злословия, а по большей части – разговор «с придыханиями», например в программах с участием Бориса Бермана и Ильдара Жандарева, с которыми чем дальше, тем больше «родства» наблюдалось у ведущих «Школы…».",patient,192-199,родства,201-212,наблюдалось
Потом проект переехал с «Культуры» на НТВ.,agent,6-12,проект,13-21,переехал
Потом проект переехал с «Культуры» на НТВ.,place,25-33,Культуры,13-21,переехал
"Набор героев программы расширился самым причудливым образом, да и «злословия» стало меньше.",patient,0-5,Набор,23-33,расширился
"Набор героев программы расширился самым причудливым образом, да и «злословия» стало меньше.",patient,67-76,злословия,78-83,стало
А года два назад концепцию «Школы злословия» как будто подменили.,time,2-6,года,55-64,подменили
"Но самое главное, резко сместился вектор разговора.",patient,34-40,вектор,24-33,сместился
"Изначально нацеленный собственно на личность гостя, теперь интерес ведущих расширился до самых общих вопросов социально-исторического, а то и чисто философского характера.",patient,59-66,интерес,75-85,расширился
"Изначально нацеленный собственно на личность гостя, теперь интерес ведущих расширился до самых общих вопросов социально-исторического, а то и чисто философского характера.",place,101-109,вопросов,75-85,расширился
