,sent_text,target,argument,label
0,"The earliest name associated with the city , Ur usalim , perhaps meant `` city of Shalim '' or `` founded by Shalim . ''",associated,name,concept_1
1,"The earliest name associated with the city , Ur usalim , perhaps meant `` city of Shalim '' or `` founded by Shalim . ''",associated,city,concept_2
2,"In the Bible , Genesis 14:18 - 20 records that Abraham visited the city of `` Salem '' in approximately 1800 b.c. and was blessed by the city 's ruler , Melchzedik , who offered him bread and wine .",visited,Abraham,theme
3,"In the Bible , Genesis 14:18 - 20 records that Abraham visited the city of `` Salem '' in approximately 1800 b.c. and was blessed by the city 's ruler , Melchzedik , who offered him bread and wine .",visited,city,goal
4,"In the Bible , Genesis 14:18 - 20 records that Abraham visited the city of `` Salem '' in approximately 1800 b.c. and was blessed by the city 's ruler , Melchzedik , who offered him bread and wine .",visited,b.c,time
5,"The city is not mentioned again in the Bible until the time of the great poet warrior , King David , who captured the city from the Jebusites in about 1000 b.c. .",mentioned,city,topic
6,"The city is not mentioned again in the Bible until the time of the great poet warrior , King David , who captured the city from the Jebusites in about 1000 b.c. .",mentioned,Bible,medium
7,The Bible describes how David 's soldiers conquered Jerusalem by discovering a water tunnel under the walls and using it to take the city by surprise .,discovering,David,cognizer
8,The Bible describes how David 's soldiers conquered Jerusalem by discovering a water tunnel under the walls and using it to take the city by surprise .,discovering,water,phenomenon
9,The Bible describes how David 's soldiers conquered Jerusalem by discovering a water tunnel under the walls and using it to take the city by surprise .,discovering,walls,ground
10,The Bible describes how David 's soldiers conquered Jerusalem by discovering a water tunnel under the walls and using it to take the city by surprise .,using,it,instrument
11,The Bible describes how David 's soldiers conquered Jerusalem by discovering a water tunnel under the walls and using it to take the city by surprise .,using,David,agent
12,The Bible describes how David 's soldiers conquered Jerusalem by discovering a water tunnel under the walls and using it to take the city by surprise .,conquered,David,conqueror
13,The Bible describes how David 's soldiers conquered Jerusalem by discovering a water tunnel under the walls and using it to take the city by surprise .,conquered,Jerusalem,theme
14,"Perhaps because Jerusalem was in neutral territory not allotted to any of the twelve rival tribes of Israel , David made it the capital of his newly formed kingdom and brought the most talented artisans , dedicated priests , magical poets and musicians , and the most formidable soldiers from each of the tribes to live in his city .",made,David,agent
15,"Perhaps because Jerusalem was in neutral territory not allotted to any of the twelve rival tribes of Israel , David made it the capital of his newly formed kingdom and brought the most talented artisans , dedicated priests , magical poets and musicians , and the most formidable soldiers from each of the tribes to live in his city .",made,it,entity
16,"Perhaps because Jerusalem was in neutral territory not allotted to any of the twelve rival tribes of Israel , David made it the capital of his newly formed kingdom and brought the most talented artisans , dedicated priests , magical poets and musicians , and the most formidable soldiers from each of the tribes to live in his city .",brought,David,agent
17,"Perhaps because Jerusalem was in neutral territory not allotted to any of the twelve rival tribes of Israel , David made it the capital of his newly formed kingdom and brought the most talented artisans , dedicated priests , magical poets and musicians , and the most formidable soldiers from each of the tribes to live in his city .",brought,tribes,source
18,"Perhaps because Jerusalem was in neutral territory not allotted to any of the twelve rival tribes of Israel , David made it the capital of his newly formed kingdom and brought the most talented artisans , dedicated priests , magical poets and musicians , and the most formidable soldiers from each of the tribes to live in his city .",brought,city,purpose
19,"He also brought the Ark of the Covenant , the portable tabernacle containing the Tablets of the Law received on Mount Sinai , to the Spring of Gihon , just outside the walls of Jerusalem .",brought,He,agent
