,Unnamed: 0,sentence,word,role,index,rel,head_id,head_text
0,0,«Школа злословия» учит прикусить язык,школа,agent,0.0,nsubj,4,учит
1,1,Сохранится ли градус дискуссии в новом сезоне?,градус,posessor,2.0,nsubj,0,Сохранится
3,3,Великолепная «Школа злословия» вернулась в эфир после летних каникул в новом формате.,школа,agent,1.0,nsubj,5,вернулась
4,4,Великолепная «Школа злословия» вернулась в эфир после летних каникул в новом формате.,каникулы,time,8.0,obl,5,вернулась
7,8,Писательница Татьяна Толстая и сценаристка Дуня Смирнова вроде бы не вполне соответствовали принятым на российском телевидении стандартам телеведущих.,писательница,agent,0.0,nsubj,11,соответствовали
12,14,"Впрочем, на канале «Культура» в роли телеведущих выступают и писатели, и композиторы, так что в этом ничего сверхъестественного не было, а идея кухонных обсуждений не слишком прижилась, и некоторые выпуски программы обходились практически без них.",писатель,agent,9.0,nsubj,10,выступают
17,20,"Иногда и в самом деле не без злословия, а по большей части – разговор «с придыханиями», например в программах с участием Бориса Бермана и Ильдара Жандарева, с которыми чем дальше, тем больше «родства» наблюдалось у ведущих «Школы…».",злословие,causator,7.0,obl,41,наблюдалось
18,25,"Иногда и в самом деле не без злословия, а по большей части – разговор «с придыханиями», например в программах с участием Бориса Бермана и Ильдара Жандарева, с которыми чем дальше, тем больше «родства» наблюдалось у ведущих «Школы…».",родство,patient,32.0,nsubj:pass,41,наблюдалось
19,26,Потом проект переехал с «Культуры» на НТВ.,проект,agent,1.0,nsubj,2,переехал
20,27,Потом проект переехал с «Культуры» на НТВ.,культура,place,4.0,obl,2,переехал
22,30,"Набор героев программы расширился самым причудливым образом, да и «злословия» стало меньше.",набор,agent,0.0,nsubj,3,расширился
25,33,"Набор героев программы расширился самым причудливым образом, да и «злословия» стало меньше.",злословие,patient,9.0,nsubj,13,стало
26,34,А года два назад концепцию «Школы злословия» как будто подменили.,год,time,1.0,obl,11,подменили
32,43,"Но самое главное, резко сместился вектор разговора.",вектор,patient,5.0,obj,5,сместился
34,46,"Изначально нацеленный собственно на личность гостя, теперь интерес ведущих расширился до самых общих вопросов социально-исторического, а то и чисто философского характера.",интерес,patient,7.0,nsubj,10,расширился
35,47,"Изначально нацеленный собственно на личность гостя, теперь интерес ведущих расширился до самых общих вопросов социально-исторического, а то и чисто философского характера.",вопрос,place,13.0,obl,10,расширился
36,48,"В момент, когда все остальные программы общественно-политической (по характеру) и либерально-интеллигентской направленности (по настрою) ушли одна за другой в небытие, «Школа злословия» стала как бы заповедником «свободы слова».",программа,agent,5.0,nsubj,19,ушли
37,50,"В момент, когда все остальные программы общественно-политической (по характеру) и либерально-интеллигентской направленности (по настрою) ушли одна за другой в небытие, «Школа злословия» стала как бы заповедником «свободы слова».",направленность,theme,11.0,obl,30,стала
44,60,"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",народ,agent,32.0,nsubj,33,стал
47,63,Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,программа,agent,0.0,nsubj,1,давала
48,64,Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,гость,addressee,2.0,iobj,1,давала
50,66,Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,гость,benefactive,2.0,iobj,1,давала
53,70,Однако в минувшем сезоне задвинутый еще глубже в ночной эфир проект снова сделал любопытный тематический крен.,проект,agent,10.0,obj,12,сделал
56,76,"Артисты, представители юмористического цеха и т.п.",представитель,agent,1.0,conj,0,Артисты
57,77,"К примеру, коллега Татьяны Толстой по шоу Первого канала «Минута славы», резидент «Комеди клаба» Гарик Мартиросян.",татьяна,posessor,3.0,nmod,3,коллега
59,79,"К примеру, коллега Татьяны Толстой по шоу Первого канала «Минута славы», резидент «Комеди клаба» Гарик Мартиросян.",шоу,place,6.0,nmod,3,коллега
64,85,Цикл программ был посвящен крупным фигурам Большого театра.,цикл,patient,0.0,nsubj:pass,3,посвящен
66,87,Цикл программ был посвящен крупным фигурам Большого театра.,фигура,addressee,5.0,iobj,3,посвящен
69,92,"Правда, это как раз тот случай, когда интересы ведущих совпадают с тем, чего ждет от программы зритель: встречи с дирижером Александром Ведерниковым, балетмейстером Алексеем Ратманским и басом Владимиром Маториным оказались едва ли не самыми увлекательными за весь минувший сезон «Школы…».",зритель,agent,16.0,nsubj,34,оказались
72,96,"Разговор шел вокруг того, можно ли выучить древнеегипетский за три года.",разговор,agent,0.0,nsubj,1,шел
73,99,"Татьяна Толстая, будучи сама филологом-«классиком», утверждала, что нельзя, гость – что можно.",татьяна,agent,0.0,nsubj,11,утверждала
74,101,"Татьяна Толстая, будучи сама филологом-«классиком», утверждала, что нельзя, гость – что можно.",гость,agent,8.0,nsubj,11,утверждала
75,102,"От египтолога хотелось бы услышать что-то если уж не про Египет, то хотя бы про нашу жизнь через призму его знаний об истории, или о современных научных методах познания прошлого.",египтолог,patient,1.0,obl,2,хотелось
76,103,"От египтолога хотелось бы услышать что-то если уж не про Египет, то хотя бы про нашу жизнь через призму его знаний об истории, или о современных научных методах познания прошлого.",знание,posessor,20.0,obl,4,услышать
78,106,В наказание Татьяна и Авдотья устроили молодому специалисту настоящее «мочилово». ,татьяна,agent,2.0,nsubj,5,устроили
80,108,В наказание Татьяна и Авдотья устроили молодому специалисту настоящее «мочилово». ,специалист,addressee,7.0,iobj,5,устроили
